bladnr,lo_x,lo_y
02ez1,"200000","612500"
02ez2,"205000","612500"
02fz1,"210000","612500"
02fz2,"215000","612500"
01gn1,"160000","606250"
01gn2,"165000","606250"
01hn1,"170000","606250"
01hn2,"175000","606250"
02cn1,"180000","606250"
02cn2,"185000","606250"
02dn1,"190000","606250"
02gn1,"200000","606250"
02gn2,"205000","606250"
02hn1,"210000","606250"
02hn2,"215000","606250"
03dn1,"230000","606250"
03dn2,"235000","606250"
03gn1,"240000","606250"
03gn2,"245000","606250"
03hn1,"250000","606250"
01cz1,"140000","600000"
01cz2,"145000","600000"
01dz1,"150000","600000"
01dz2,"155000","600000"
01gz1,"160000","600000"
01gz2,"165000","600000"
01hz1,"170000","600000"
01hz2,"175000","600000"
02cz1,"180000","600000"
02cz2,"185000","600000"
02dz1,"190000","600000"
02dz2,"195000","600000"
02gz1,"200000","600000"
02gz2,"205000","600000"
02hz1,"210000","600000"
02hz2,"215000","600000"
03cz1,"220000","600000"
03cz2,"225000","600000"
03dz1,"230000","600000"
03dz2,"235000","600000"
03gz1,"240000","600000"
03gz2,"245000","600000"
03hz1,"250000","600000"
03hz2,"255000","600000"
04fn2,"135000","593750"
05an1,"140000","593750"
05an2,"145000","593750"
05bn1,"150000","593750"
05fn1,"170000","593750"
05fn2,"175000","593750"
06an1,"180000","593750"
06an2,"185000","593750"
06bn1,"190000","593750"
06bn2,"195000","593750"
06en1,"200000","593750"
06en2,"205000","593750"
06fn1,"210000","593750"
06fn2,"215000","593750"
07an1,"220000","593750"
07an2,"225000","593750"
07bn1,"230000","593750"
07bn2,"235000","593750"
07en1,"240000","593750"
07en2,"245000","593750"
07fn1,"250000","593750"
07fn2,"255000","593750"
08an1,"260000","593750"
04ez2,"125000","587500"
04fz1,"130000","587500"
04fz2,"135000","587500"
05ez2,"165000","587500"
05fz1,"170000","587500"
05fz2,"175000","587500"
06az1,"180000","587500"
06az2,"185000","587500"
06bz1,"190000","587500"
06bz2,"195000","587500"
06ez1,"200000","587500"
06ez2,"205000","587500"
06fz1,"210000","587500"
06fz2,"215000","587500"
07az1,"220000","587500"
07az2,"225000","587500"
07bz1,"230000","587500"
07bz2,"235000","587500"
07ez1,"240000","587500"
07ez2,"245000","587500"
07fz1,"250000","587500"
