bladnr,dsm_5_size,dtm_5_size,dsm_05_size,dtm_05_size,laz_size
01cz1,609238,607278,55942495,51866383,314074841
01cz2,1745086,1729789,161842387,150709965,1056518374
01dz1,2382845,2358599,220118700,207514671,1407176770
01dz2,2282611,2277251,210534102,199851633,1124388072
01gn1,163627,163586,13841079,13747020,86000640
01gn2,24568,24534,1598876,1595462,15941463
01gz1,1610591,1607386,146934907,141000273,709753968
01gz2,126998,126956,10911686,10692706,66316412
01hn1,1806827,1777794,156818801,146561147,862615930
01hn2,1600051,1576820,138151165,127700491,670642193
01hz1,1157716,1143075,98397410,95293761,373401736
01hz2,441722,435906,36764215,35805865,138688704
02cn1,1663662,1618279,143124276,128860464,614938704
02cn2,1378785,1376530,118145113,113494603,431301846
02cz1,230013,227270,19292362,18860277,83802383
02cz2,473903,472106,40941941,40225255,168562670
02dn1,784900,784832,63980432,62659721,225399573
02dz1,868230,862054,77120043,75947504,386310577
02dz2,1534243,1520009,136331753,133551189,560688284
02ez1,13402,13405,696204,696092,17131356
02ez2,539584,538589,45300797,42730217,185800836
02fz1,1002344,1000641,82961911,79034721,260261417
02fz2,1213606,1213912,97891291,97004546,297197094
02gn1,996972,996899,81680431,80948245,303304383
02gn2,2281809,2245431,204007222,185554878,1273723542
02gz1,1824016,1813269,157645645,154507392,560644543
02gz2,1026725,999963,84347950,77432536,605857833
02hn1,1109202,1107996,95139865,88491117,295655986
02hn2,46437,46432,3416247,3378703,8074075
02hz1,2203625,2151257,162979300,141331153,1517828443
02hz2,2086247,2071778,139064919,135963716,890195695
03az1,842403,842113,66691592,66665818,209921771
03cn1,18024,18022,1054184,1054104,2736675
03cz1,3256219,3210310,226943875,220762025,1092630966
03cz2,3826332,3776885,265835575,259532683,1274769476
03dn1,236646,236732,14245961,14208667,72897837
03dn2,1269662,1254657,85712620,84444982,397644156
03dz1,4232411,4164870,294100124,285107054,1444449707
03dz2,4331821,4239931,301064845,288918431,1473454181
03gn1,2286041,2268590,149631370,147473009,748853103
03gn2,2341849,2315881,155505865,152531326,819906210
03gz1,4357391,4173115,310282091,285539543,1676526750
03gz2,4318294,4246916,288352398,278887384,1560741078
03hn1,1148277,1035722,84802406,73881454,549277702
03hz1,4075966,3980180,275952368,263175222,1512081066
03hz2,47618,47597,3208402,3208120,35917498
04dn2,144765,144795,11086416,11086453,38615676
04dz2,875068,858715,67556291,65471505,463925878
04ez2,556101,553282,49950805,46510228,202082554
04fn2,168924,168846,14187249,14181978,79070231
04fz1,1381495,1360501,126853569,113463998,861802810
04fz2,151901,149156,13142385,12021493,53672001
04gn1,1761545,1761310,138087155,137005922,423054733
04gn2,985734,975162,86312183,77011281,359860673
04gz1,427882,427527,32820697,32705472,145643459
05an1,2494562,2453070,231985740,211524344,2069221385
05an2,1184689,1164497,108344208,102987691,705554017
05bn1,258601,258496,22915480,22815709,101256579
05dn2,127897,127541,10290603,10170685,29881046
05dz2,2228670,2042000,194641517,167562666,769489024
05ez2,1512334,1494798,134464857,131098878,1009567502
05fn1,19694,19691,1154350,1154085,2398383
05fn2,1035607,1035327,83581636,82708595,228711747
05fz1,3722966,3664710,320199734,309336180,1043840682
05fz2,4390887,4337017,371975798,361886325,1133844842
05gn1,2461458,2421234,210337368,202611646,663301828
05gn2,4451227,4370783,381237313,365564842,1242188336
05gz1,4496656,4378052,391230896,370144214,1396193580
05gz2,4497187,4355803,383522306,361596158,1209616596
05hn1,4428591,4316563,373386565,349500654,1214247558
05hn2,4449104,4369350,375428037,361289465,1208250092
05hz1,4487662,4397390,384690860,368499003,1255925516
05hz2,4459154,4358995,373825899,357274855,1133566846
06an1,2852414,2825241,243421139,237965305,850876339
06an2,4362322,4308968,381636249,371519333,1395416685
06az1,4524608,4434866,383095468,368554591,1166628267
06az2,4511285,4450256,382058761,372236968,1129392046
06bn1,4501395,4436385,382900828,371761990,1200707315
06bn2,4522871,4444819,389477843,367432871,1168788377
06bz1,4371795,4275801,366398611,348802502,1200030521
06bz2,4452760,4246602,379298721,337527448,1352612758
06cn1,4491797,4355997,381443696,355113235,1324177365
06cn2,4204146,4074354,357558512,330977486,1432022061
06cz1,4353514,3719008,378648496,293071705,1514056890
06cz2,4060617,3843352,349506826,314764678,1433703113
06dn1,4290598,4172980,361800325,334699243,1283814793
06dn2,4461800,4248469,385489804,336316795,1578465180
06dz1,4229469,4092033,360222100,332566983,1326380056
06dz2,3780878,3594952,325509046,285833597,1470277023
06en1,4468978,4411615,376614217,365373875,1155396833
06en2,3010982,2935969,247974779,223148410,1367999814
06ez1,4453138,4381334,370767546,354063918,1103820109
06ez2,4405359,4306120,378910401,360649905,1589113281
06fn1,3704821,3636198,259736094,232124510,1703011975
06fn2,4278623,4181216,299748552,286430142,1410468681
06fz1,4417754,4369470,367934027,358301137,1349569518
06fz2,4249772,4193494,312502003,304557293,1413530544
06gn1,4373064,4248016,378245740,338836241,1746008023
06gn2,4478228,4357575,396838139,373677558,1782163148
06gz1,4262966,4098563,367141489,328676381,1596002399
06gz2,4430101,4249601,403356515,367474676,2296105819
06hn1,4485589,4403031,376283707,362376321,1417772744
06hn2,4389808,4238429,316440081,295365742,1462310751
06hz1,4484717,4361517,381331499,354879602,1868190816
06hz2,4445835,4320396,334239869,312556629,1601945212
07an1,4372807,4276529,303972133,290802291,1401319629
07an2,4385042,4292749,307208004,294801961,1416343924
07az1,4362368,4296046,307189989,299186155,1311482510
07az2,4398153,4322634,308124411,298881231,1295341680
07bn1,4479116,4332177,306770094,289296195,1396808640
07bn2,4502260,4392505,302371474,288367162,1362799582
07bz1,4470190,4374400,302682430,291090864,1335850539
07bz2,4303558,4119713,298285051,278064998,1446676508
07cn1,4388889,4231740,314322576,294653050,1507427251
07cn2,4392059,4221275,309890552,290735661,1371069527
07cz1,4207224,3941186,311375083,274798961,1757704912
07cz2,4072992,3908943,294623271,267947753,1711107062
07dn1,4307074,3623806,332975755,258216126,1997366548
07dn2,4174294,3725686,315635899,261659022,1937661571
07dz1,3748650,3212361,294821986,227059312,1953948712
07dz2,4359534,3883895,332894652,273712495,1881175090
07en1,4493817,4427849,300458047,291097999,1359324198
07en2,4470760,4357588,303610229,287592445,1567692970
07ez1,4412955,4278991,300083419,283661967,1552097267
07ez2,4217261,4117514,291565267,278419760,1392906078
07fn1,4522351,4399683,306368904,290294540,1625246744
07fn2,1703157,1529653,129893158,107544127,843088732
07fz1,3937078,3745861,283711216,258561648,1376869568
07fz2,4247596,4045683,302004972,279677939,1440356909
07gn1,4131195,4014130,288968736,272456918,1396081025
07gn2,3929108,3778844,279144059,257819926,1400600012
07gz1,3700281,3466460,272270109,242473424,1487853203
07gz2,4407528,3991373,322046636,271945016,1881519818
07hn1,4408061,4263147,311656424,289222589,1642006503
07hn2,4113054,4016641,283277113,269295683,1472825699
07hz1,4376040,4174495,308384456,280527389,1685492307
07hz2,4296973,4249303,287717811,280591157,1366182461
08an1,51942,51900,3609491,3574241,22656882
08az1,3917947,3787922,277889918,259348069,1658112294
08az2,2454854,2437577,160239496,157252834,858357327
08bz1,12311,12312,922182,922186,10052997
08cn1,4420241,4369942,284868722,277941600,1332827690
08cn2,4331734,4297573,269522959,265724583,1301922606
08cz1,4040391,3824694,300375709,265137817,1816911002
08cz2,3789044,3593774,287751215,252314990,1830436450
08dn1,3273476,3242152,213460303,208831759,1202158415
08dn2,1052528,1043562,69432651,67836116,364492334
08dz1,4423026,4368815,288505951,280864410,1392279923
08dz2,1262190,1216701,92065189,82241469,746635347
09az2,11360,11360,804687,804016,9125591
09bn1,465832,458740,36244720,34818037,290996095
09bn2,2321041,2225238,189553839,178952689,1819988236
09bz1,2434782,2244683,200072181,170154456,2185238062
09bz2,2388147,2255683,190824998,176385270,1709645639
09cn2,321541,321380,22368274,22284926,173614222
09cz2,536994,537002,37479903,37450185,413461656
09dn1,2517075,2453391,202612144,193805521,1823728883
09dn2,1017958,971797,75984010,70554379,618328075
09dz1,1539049,1225417,125273777,88800347,1928032200
09dz2,143391,113636,9962110,7598294,130657043
09en1,1112649,1072462,87908001,84020293,843277824
09ez1,783979,755811,59811124,56569224,527668662
09hn2,26794,26736,1964589,1945650,12540938
09hz1,114367,111382,9399292,8979697,61555034
09hz2,104016,103703,8758637,8633885,45389018
10az2,81227,81022,6953545,6884220,38304801
10bn1,57990,57949,4709025,4694007,18490488
10bn2,3515904,3468546,306276274,297350609,1152459093
10bz1,779514,758359,70364085,61582941,402931630
10bz2,4410340,4316368,377915879,362646282,1323015744
10cn1,153793,151617,13580704,13222518,91696860
10cn2,44814,44746,3573844,3552524,13129300
10dn1,69077,63841,5751782,4674325,26808899
10dn2,3737115,3686438,312532783,301662261,1071468335
10dz2,3347819,3243087,285320573,268328845,991075062
10en1,4553450,4488922,385357529,374287526,1115002633
10en2,4567805,4492247,385094578,373373867,1101692582
10ez1,4531834,4376529,385039191,361508102,1196155981
10ez2,4560068,4493486,382260842,371805034,1101178766
10fn1,4516774,4447306,379434098,368739192,1090765409
10fn2,4511826,4445213,377786496,366925981,1097465104
10fz1,4540990,4462696,384643087,372513304,1119776336
10fz2,4418378,4337850,369212298,356952085,1107597022
10gn1,4182833,4117255,346874791,337255876,1023753352
10gn2,4157860,4089907,348253688,337364135,1043367794
10gz1,3394156,3311846,281547598,271003585,955025273
10gz2,2724345,2629323,227315501,214456317,898404724
10hn1,4016828,3631865,344600310,288700079,1282817616
10hn2,3003824,2854610,249244906,227477081,985452984
10hz1,3983295,3849366,331711035,312943473,1049357763
10hz2,3402221,3269867,286018469,265119942,1070199996
11an1,4513582,4438538,378473993,365874578,1143137277
11an2,3723210,3600258,317045382,296456621,1254710597
11az1,4292200,4169620,361126331,342152394,1177650506
11az2,3774286,3639320,321169933,300463201,1257809160
11bn1,3605111,3425299,307494362,272163762,1405383399
11bn2,4203292,4074682,357022823,331014048,1359728680
11bz1,4111903,4022831,339133992,324707658,1140121297
11bz2,4304218,4175882,362577872,337622969,1424267721
11cn1,3377931,3245866,279562381,260418689,1011533494
11cn2,4103963,3956689,346989421,326130906,1306735580
11cz1,4354094,4135534,370713093,332007739,1338177986
11cz2,4177932,3970189,362698811,331602718,1494465380
11dn1,4116092,3958898,340970877,315744871,1318451145
11dn2,4356071,4222295,366676453,342669418,1349175023
11dz1,4397209,4013002,385618138,319724242,1726208898
11dz2,4482075,4316994,393374316,354049698,1857519326
11en1,4186598,3814896,361652286,301248244,1593520157
11en2,4160773,4015369,357786629,331129710,2203324132
11ez1,4424782,4133991,399626004,326633513,2610887950
11ez2,4287717,4172806,375126925,349457067,2193631544
11fn1,4239952,4031070,322664216,292688475,1753463931
11fn2,4255803,4071629,316625024,288491023,2066923039
11fz1,4251141,4023830,358830921,304562668,2164241953
11fz2,4243248,4054716,340475128,306098752,1991170555
11gn1,4403355,4186475,383167628,333858067,1783642847
11gn2,4256559,4107056,368893211,341220159,2328981225
11gz1,4392023,4257334,378713395,345071426,1900049190
11gz2,4270119,4154175,379747409,355025260,2775316022
11hn1,4263900,4117468,349611634,320873568,1682289005
11hn2,4185550,4031769,326893511,297114333,1497396472
11hz1,4272713,4133771,357245032,328552648,2140743260
11hz2,4212172,3975551,354332539,298065380,2477757083
12an1,4267049,3896850,329780339,279120565,2356275643
12an2,4334657,4101821,328940928,290702193,2008686688
12az1,4202670,4008736,312720887,280567528,2148294393
12az2,4238139,3947049,327479110,277433396,2623642508
12bn1,4353810,4150040,322871762,290562626,1846366208
12bn2,4262473,4080639,324111631,288268938,2284130969
12bz1,4213753,4067392,312891969,284737375,2103930050
12bz2,4220638,4027129,322229713,287878887,2442170727
12cn1,3934264,3708358,310396130,261064776,2176880227
12cn2,4008325,3821995,300382369,267243388,2288644504
12cz1,4018450,3870311,319429520,281266079,1912422093
12cz2,4036318,3820298,297725530,267057827,1856434968
12dn1,4077175,3569114,320220414,257630320,2300210771
12dn2,4200278,3974584,323633297,285464707,2172517343
12dz1,4077489,3872349,316828864,278940092,2469192570
12dz2,4129165,4004497,307973454,281071669,2331986385
12en1,3385200,3229831,249145672,223072369,1647385559
12en2,4296914,4148067,304788210,284888372,1685352419
12ez1,4322520,4086594,338692608,290320421,2806795148
12ez2,4294859,4224128,303150568,291978693,1514724498
12fn1,4245836,3949120,313052863,273435063,2046019851
12fn2,4342262,4131525,308656887,282359662,1628575903
12fz1,4117667,3905663,296837405,271398476,1633263454
12fz2,4098154,3969396,286870624,270524584,1481881896
12gn1,4179281,4021211,321739073,287895840,2414865748
12gn2,4220140,4041227,322985682,288596189,2241609571
12gz1,4101093,3845682,320035972,273015811,2708053840
12gz2,4114477,3675254,351233450,270019649,3541839657
12hn1,4179625,4049438,302534299,284040780,1690166704
12hn2,4148026,3888399,304351637,272301215,1828599180
12hz1,4188123,4097966,307976557,292235506,1764425825
12hz2,4120205,3971760,294155100,276060560,1591968280
13an1,4487183,4231915,322911392,285950034,2011913406
13an2,4421074,4174152,308844270,277155356,1696868154
13az1,4223020,4069108,304398990,282418008,1693544365
13az2,4337870,4217707,309520180,287932958,1864261674
13bn1,4455631,4360895,296090252,279789745,1690769120
13bn2,717068,701962,49870134,45838631,328531145
13bz1,4258865,4135674,296549991,275391050,1940605569
13bz2,1434067,1412869,95432304,92114704,510382170
13cn1,4111068,3871656,307559015,272883954,2032401306
13cn2,4169334,4070539,295926551,280237844,1689387467
13cz1,4158463,3875961,300075944,267919145,1610433997
13cz2,4022861,3888238,284186200,264203780,1731284598
13dn1,4151109,4002972,297376345,275196971,1910810495
13dn2,1856864,1815409,126683351,120622293,733927357
13dz1,4143309,3965971,307433865,274172795,2498245910
13dz2,697968,693580,46048673,45505582,229132770
14an2,408302,407347,30239360,30057290,216852645
14az2,1013291,950226,80060078,71399971,585111447
14bn1,2368906,2032753,207264018,173645315,2067198150
14bn2,1116324,1000305,95466656,85171018,1071162345
14bz1,2179490,1998196,193664349,179183192,1598320413
14bz2,2379338,2171802,199349422,178466821,1779192081
14cn2,1828336,1714664,152748416,139305566,1559302258
14cz1,344107,343330,24972534,24790443,225936816
14cz2,2564774,2440112,208910041,192873245,1957663597
14dn1,2402105,2163587,199315231,177384101,1729050294
14dn2,2376259,2166262,195125096,174736572,1701597459
14dz1,2438204,2140690,199991810,172569316,1760946334
14dz2,2453194,2187593,199560500,174191946,1864993840
14en1,560922,536631,41620790,37584854,566908042
14en2,2294249,2174871,179255053,165483605,1905675431
14ez1,2118082,2015270,170028401,160696129,1541012875
14ez2,2242748,2083598,184674733,172231000,1685175753
14fn1,1808082,1521175,155522310,119849464,2237605068
14fz1,2309689,2075565,193721903,173514579,1696323072
14fz2,527636,512856,40611621,39180980,316030600
14gn1,2339623,2232672,189315719,179215204,1737787318
14gn2,2180208,2017919,184732342,171316122,1676878316
14gz1,2497073,2222209,203075744,177539490,1859446152
14gz2,2361862,2218424,187992197,175752184,1563255256
14hn1,2306049,2055277,196602979,170247606,1868681205
14hn2,627730,585780,49088976,44445930,408433855
14hz1,2511698,2305100,199315174,179798607,1627845705
14hz2,1975242,1712419,157174284,130630607,1345942734
